位置序号,36×36行,36×36列,IP组,序号,组,引脚编号,连接器
109,3,0,124,26,一组,1,1-1-1
110,3,1,111,16,一组,2,1-1-3
74,2,1,101,12,一组,3,1-1-5
111,3,2,101,3,一组,4,1-1-7
112,3,3,101,4,一组,5,1-1-9
76,2,3,101,5,一组,6,1-1-11
75,2,2,101,6,一组,7,1-1-13
40,1,3,101,7,一组,8,1-1-15
4,0,3,101,8,一组,9,1-1-17
3,0,2,101,9,一组,10,1-1-19
39,1,2,101,10,一组,11,1-2-1
2,0,1,101,2,一组,12,1-2-3
1,0,0,106,6,一组,13,1-2-5
37,1,0,101,1,一组,14,1-2-7
38,1,1,101,14,一组,15,1-2-9
73,2,0,101,15,一组,16,1-2-11
253,7,0,101,16,一组,17,1-2-13
254,7,1,101,17,一组,18,1-2-15
218,6,1,101,18,一组,19,1-2-17
255,7,2,101,19,一组,20,1-2-19
256,7,3,101,20,一组,21,1-3-1
220,6,3,101,21,一组,22,1-3-3
219,6,2,101,22,一组,23,1-3-5
184,5,3,101,23,一组,24,1-3-7
148,4,3,101,24,一组,25,1-3-9
147,4,2,101,25,一组,26,1-3-11
183,5,2,101,26,一组,27,1-3-13
146,4,1,101,27,一组,28,1-3-15
145,4,0,101,28,一组,29,1-3-17
181,5,0,101,29,一组,30,1-3-19
182,5,1,101,30,一组,31,1-4-1
217,6,0,101,31,一组,32,1-4-3
397,11,0,101,32,一组,33,1-4-5
398,11,1,101,33,一组,34,1-4-7
362,10,1,101,34,一组,35,1-4-9
399,11,2,101,35,一组,36,1-4-11
400,11,3,101,36,一组,37,1-4-13
364,10,3,101,37,一组,38,1-4-15
363,10,2,101,38,一组,39,1-4-17
328,9,3,101,39,一组,40,1-4-19
292,8,3,101,40,一组,41,1-5-1
291,8,2,101,41,一组,42,1-5-3
327,9,2,101,42,一组,43,1-5-5
290,8,1,101,43,一组,44,1-5-7
289,8,0,101,44,一组,45,1-5-9
325,9,0,101,45,一组,46,1-5-11
326,9,1,101,46,一组,47,1-5-13
361,10,0,101,47,一组,48,1-5-15
541,15,0,101,48,一组,49,1-5-17
542,15,1,101,49,一组,50,1-5-19
506,14,1,102,0,一组,56,1-6-1
543,15,2,102,1,一组,57,1-6-3
544,15,3,102,2,一组,58,1-6-5
508,14,3,102,3,一组,59,1-6-7
507,14,2,102,4,一组,60,1-6-9
472,13,3,102,5,一组,61,1-6-11
436,12,3,102,6,一组,62,1-6-13
435,12,2,102,7,一组,63,1-6-15
471,13,2,102,8,一组,64,1-6-17
434,12,1,102,9,一组,65,1-6-19
433,12,0,102,10,一组,66,1-7-1
469,13,0,102,11,一组,67,1-7-3
470,13,1,102,12,一组,68,1-7-5
505,14,0,102,13,一组,69,1-7-7
685,19,0,102,14,一组,70,1-7-9
686,19,1,102,15,一组,71,1-7-11
650,18,1,102,16,一组,72,1-7-13
687,19,2,102,17,一组,73,1-7-15
688,19,3,102,18,一组,74,1-7-17
652,18,3,102,19,一组,75,1-7-19
651,18,2,102,20,一组,76,1-8-1
616,17,3,102,21,一组,77,1-8-3
580,16,3,102,22,一组,78,1-8-5
579,16,2,102,23,一组,79,1-8-7
615,17,2,102,24,一组,80,1-8-9
578,16,1,102,25,一组,81,1-8-11
577,16,0,102,26,一组,82,1-8-13
613,17,0,102,27,一组,83,1-8-15
614,17,1,102,28,一组,84,1-8-17
649,18,0,102,29,一组,85,1-8-19
829,23,0,102,30,一组,86,1-9-1
830,23,1,102,31,一组,87,1-9-3
794,22,1,102,32,一组,88,1-9-5
831,23,2,102,33,一组,89,1-9-7
832,23,3,102,34,一组,90,1-9-9
796,22,3,102,35,一组,91,1-9-11
795,22,2,102,36,一组,92,1-9-13
760,21,3,102,37,一组,93,1-9-15
724,20,3,102,38,一组,94,1-9-17
723,20,2,102,39,一组,95,1-9-19
759,21,2,102,40,一组,96,1-10-1
722,20,1,102,41,一组,97,1-10-3
721,20,0,102,42,一组,98,1-10-5
757,21,0,102,43,一组,99,1-10-7
758,21,1,102,44,一组,100,1-10-9
793,22,0,102,45,一组,101,1-10-11
973,27,0,102,46,一组,102,1-10-13
974,27,1,102,47,一组,103,1-10-15
938,26,1,102,48,一组,104,1-10-17
975,27,2,102,49,一组,105,1-10-19
976,27,3,103,0,一组,111,2-1-1
940,26,3,103,1,一组,112,2-1-3
939,26,2,103,2,一组,113,2-1-5
904,25,3,103,3,一组,114,2-1-7
868,24,3,103,4,一组,115,2-1-9
867,24,2,103,5,一组,116,2-1-11
903,25,2,103,6,一组,117,2-1-13
866,24,1,103,7,一组,118,2-1-15
865,24,0,103,8,一组,119,2-1-17
901,25,0,103,9,一组,120,2-1-19
902,25,1,103,10,一组,121,2-2-1
937,26,0,103,11,一组,122,2-2-3
1117,31,0,103,12,一组,123,2-2-5
1118,31,1,103,13,一组,124,2-2-7
1082,30,1,103,14,一组,125,2-2-9
1119,31,2,103,15,一组,126,2-2-11
1120,31,3,103,16,一组,127,2-2-13
1084,30,3,103,17,一组,128,2-2-15
1083,30,2,103,18,一组,129,2-2-17
1048,29,3,103,19,一组,130,2-2-19
1012,28,3,103,20,一组,131,2-3-1
1011,28,2,103,21,一组,132,2-3-3
1047,29,2,103,22,一组,133,2-3-5
1010,28,1,103,23,一组,134,2-3-7
1009,28,0,103,24,一组,135,2-3-9
1045,29,0,103,25,一组,136,2-3-11
1046,29,1,103,26,一组,137,2-3-13
1081,30,0,103,27,一组,138,2-3-15
1261,35,0,126,45,一组,139,2-3-17
1262,35,1,103,29,一组,140,2-3-19
1226,34,1,103,30,一组,141,2-4-1
1263,35,2,103,31,一组,142,2-4-3
1264,35,3,103,32,一组,143,2-4-5
1228,34,3,103,33,一组,144,2-4-7
1227,34,2,103,34,一组,145,2-4-9
1192,33,3,103,35,一组,146,2-4-11
1156,32,3,103,36,一组,147,2-4-13
1155,32,2,103,37,一组,148,2-4-15
1191,33,2,103,38,一组,149,2-4-17
1154,32,1,103,39,一组,150,2-4-19
1153,32,0,126,46,一组,166,2-5-1
1189,33,0,103,41,一组,167,2-5-3
1190,33,1,103,42,一组,168,2-5-5
1225,34,0,101,0,一组,169,2-5-7
113,3,4,103,44,一组,170,2-5-9
