1   
2	3 4 5 6 7 8
3	2 4 8 9 10 20
4	2 3 6 10 11 12
5	2 4 5 12 13 14
6	2 5 7 14 15 16
7	2 6 7 16 17 18
8	2 3 7 18 19 20
9	3 10 20 21 22 38
10	3 4 9 11 22 23
11	4 10 12 23 24 25
12	4 5 11 13 25 26
13	5 12 14 26 27 28
14	5 6 13 15 28 29
15	6 14 16 29 30 31
16	6 7 15 17 31 32
17	7 16 18 32 33 32
18	7 8 17 19 34 35
19	8 18 20 35 36 37
20	3 8 9 19 37 38
21	9 22 38 39 64
22	9 10 21 23 39 40 41
23	10 11 22 24 41 42
24	11 23 25 42 43 44
25	11 12 24 26 44 45
26	12 13 25 27 45 46 47
27	13 26 28 46 47 48
28	13 14 27 29 48 49
29	14 15 28 30 49 50 51
30	15 29 31 51 52
31	15 16 30 32 52 53
32	16 17 31 33 54 55
33	17 32 34 55 56 57
34	17 18 33 35 57 58
35	18 19 34 36 58 59 60
36	19 35 37 59 60 61
37	19 20 36 38 61 62
38	9 20 21 37 62 63 64
39	21 22 40 64
40	22 39 41 
